id,song,song_rank,line_idx,word_idx,word_text,issue_type,issue_label,severity,is_derivative,start,end,duration,gap_from_prev,line_text,word_source,section_type,root_cause_hint,repair_suggestion
nathan-s-song_L40_W3_gap_from_prev,nathan-s-song,21,40,3,servant,gap_from_prev,gap 0.63s from previous word,warning,False,298.891,299.189,0.298,0.631,"Oh, fellow truth-speaker, servant of the Lord",whisper_plus_vocal_onset,bridge_-_strip_back_to_atmospheric_elements,independent_gap,fix_inversion_first
nathan-s-song_L48_W1_gap_from_prev,nathan-s-song,21,48,1,all,gap_from_prev,gap 0.92s from previous word,warning,False,334.36,334.752,0.392,0.92,"We all need a Nathan, a prophet in our lives",transcription,final_refrain_-_mature,independent_gap,fix_inversion_first
not-your-slave_L5_W0_duration_undersize,not-your-slave,17,5,0,NOT,duration_undersize,duration 0.025s < 0.04s,warning,False,18.635,18.66,0.025,,NOT YOUR SLAVE,whisper_plus_vocal_onset,chant_-_building_intensity,unknown_undersize,manual_review
not-your-slave_L6_W2_duration_undersize,not-your-slave,17,6,2,SLAVE,duration_undersize,duration 0.040s < 0.04s,warning,False,22.28,22.32,0.04,,NOT YOUR SLAVE,transcription,chant_-_building_intensity,unknown_undersize,manual_review
not-your-slave_L7_W0_duration_undersize,not-your-slave,17,7,0,NOT,duration_undersize,duration 0.040s < 0.04s,warning,False,21.803,21.843,0.04,,NOT YOUR SLAVE,whisper_plus_vocal_onset,chant_-_building_intensity,unknown_undersize,manual_review
not-your-slave_L10_W1_duration_undersize,not-your-slave,17,10,1,a,duration_undersize,duration 0.029s < 0.04s,warning,False,57.131,57.16,0.029,,"I'm a brand new wife, now that's correction",whisper_plus_vocal_onset,verse,unknown_undersize,manual_review
not-your-slave_L16_W1_duration_undersize,not-your-slave,17,16,1,your,duration_undersize,duration 0.020s < 0.04s,warning,False,80.0,80.02,0.02,,I'm your co-creator,whisper_plus_vocal_onset,chorus,unknown_undersize,manual_review
not-your-slave_L20_W1_duration_undersize,not-your-slave,17,20,1,an,duration_undersize,duration 0.040s < 0.04s,warning,False,91.9,91.94,0.04,,I'm an image of the maker,transcription,chorus,unknown_undersize,manual_review
not-your-slave_L23_W2_duration_undersize,not-your-slave,17,23,2,SLAVE,duration_undersize,duration 0.040s < 0.04s,warning,False,101.12,101.16,0.04,,NOT YOUR SLAVE,transcription,chant,unknown_undersize,manual_review
not-your-slave_L25_W2_duration_undersize,not-your-slave,17,25,2,SLAVE,duration_undersize,duration 0.040s < 0.04s,warning,False,104.4,104.44,0.04,,NOT YOUR SLAVE,transcription,chant,unknown_undersize,manual_review
not-your-slave_L30_W0_duration_undersize,not-your-slave,17,30,0,Done,duration_undersize,duration 0.012s < 0.04s,warning,False,130.368,130.38,0.012,,"Done the screaming, took the beating, felt defeated, I ain't leaving!",whisper_plus_vocal_onset,verse,unknown_undersize,manual_review
not-your-slave_L39_W2_duration_undersize,not-your-slave,17,39,2,SLAVE,duration_undersize,duration 0.040s < 0.04s,warning,False,147.0,147.04,0.04,,NOT YOUR SLAVE,transcription,chant,unknown_undersize,manual_review
not-your-slave_L41_W2_duration_undersize,not-your-slave,17,41,2,SLAVE,duration_undersize,duration 0.040s < 0.04s,warning,False,149.96,150.0,0.04,,NOT YOUR SLAVE,transcription,chant,unknown_undersize,manual_review
not-your-slave_L42_W0_duration_undersize,not-your-slave,17,42,0,NOT,duration_undersize,duration 0.040s < 0.04s,warning,False,149.8,149.84,0.04,,NOT YOUR SLAVE,transcription,chant,unknown_undersize,manual_review
not-your-slave_L42_W2_duration_undersize,not-your-slave,17,42,2,SLAVE,duration_undersize,duration 0.040s < 0.04s,warning,False,149.96,150.0,0.04,,NOT YOUR SLAVE,transcription,chant,unknown_undersize,manual_review
not-your-slave_L44_W1_duration_undersize,not-your-slave,17,44,1,your,duration_undersize,duration 0.020s < 0.04s,warning,False,157.36,157.38,0.02,,I'm your co-creator,transcription,chorus,unknown_undersize,manual_review
not-your-slave_L50_W5_duration_undersize,not-your-slave,17,50,5,a,duration_undersize,duration 0.020s < 0.04s,warning,False,177.12,177.14,0.02,,How do you judge who's a faker?,transcription,chorus,unknown_undersize,manual_review
not-your-slave_L62_W5_duration_undersize,not-your-slave,17,62,5,a,duration_undersize,duration 0.020s < 0.04s,warning,False,221.18,221.2,0.02,,How do you judge who's a faker?,whisper_plus_vocal_onset,chorus,unknown_undersize,manual_review
not-your-slave_L70_W5_duration_undersize,not-your-slave,17,70,5,a,duration_undersize,duration 0.040s < 0.04s,warning,False,246.443,246.483,0.04,,How do you judge who's a faker?,whisper_plus_vocal_onset,chorus_-_demolish_strongholds,unknown_undersize,manual_review
not-your-slave_L71_W2_duration_undersize,not-your-slave,17,71,2,SLAVE,duration_undersize,duration 0.040s < 0.04s,warning,False,248.0,248.04,0.04,,NOT YOUR SLAVE,transcription,chant,unknown_undersize,manual_review
not-your-slave_L76_W2_gap_from_prev,not-your-slave,17,76,2,SLAVE,gap_from_prev,gap 1.69s from previous word,warning,False,246.5,246.8,0.3,1.695,NOT YOUR SLAVE,vocal_onset_only,chant,independent_gap,fix_inversion_first
not-your-slave_L77_W1_gap_from_prev,not-your-slave,17,77,1,YOUR,gap_from_prev,gap 6.45s from previous word,high,False,255.115,256.615,1.5,6.447,NOT YOUR SLAVE,vocal_onset_only,chant,independent_gap,fix_inversion_first
not-your-slave_L77_W2_gap_from_prev,not-your-slave,17,77,2,SLAVE,gap_from_prev,gap 2.38s from previous word,warning,False,258.997,260.497,1.5,2.382,NOT YOUR SLAVE,vocal_onset_only,chant,independent_gap,fix_inversion_first
not-your-slave_L78_W1_gap_from_prev,not-your-slave,17,78,1,YOUR,gap_from_prev,gap 0.79s from previous word,warning,False,272.207,273.707,1.5,0.787,NOT YOUR SLAVE,interpolated,chant,independent_gap,fix_inversion_first
not-your-slave_L78_W2_gap_from_prev,not-your-slave,17,78,2,SLAVE,gap_from_prev,gap 0.79s from previous word,warning,False,274.493,275.993,1.5,0.786,NOT YOUR SLAVE,interpolated,chant,independent_gap,fix_inversion_first
nothing-is-impossible_L0_W1_gap_from_prev,nothing-is-impossible,22,0,1,who,gap_from_prev,gap 12.46s from previous word,high,False,17.18,18.68,1.5,12.46,"Those who have ears to hear, let them hear",transcription,intro,independent_gap,fix_inversion_first
nothing-is-impossible_L0_W2_gap_from_prev,nothing-is-impossible,22,0,2,have,gap_from_prev,gap 1.26s from previous word,warning,False,19.936,20.32,0.384,1.256,"Those who have ears to hear, let them hear",whisper_plus_vocal_onset,intro,independent_gap,fix_inversion_first
nothing-is-impossible_L7_W8_gap_from_prev,nothing-is-impossible,22,7,8,it’s,gap_from_prev,gap 2.36s from previous word,warning,False,68.6,68.7,0.1,2.365,"Or put up a fight, Instead of woman, it’s dyke",transcription,verse_-_rapped,independent_gap,fix_inversion_first
nothing-is-impossible_L7_W9_duration_undersize,nothing-is-impossible,22,7,9,dyke,duration_undersize,duration 0.040s < 0.04s,warning,False,68.7,68.74,0.04,,"Or put up a fight, Instead of woman, it’s dyke",transcription,verse_-_rapped,unknown_undersize,manual_review
nothing-is-impossible_L8_W1_duration_undersize,nothing-is-impossible,22,8,1,one,duration_undersize,duration 0.040s < 0.04s,warning,False,66.376,66.416,0.04,,"Yet one thing they held to, since I was a small tike",transcription,verse_-_rapped,unknown_undersize,manual_review
nothing-is-impossible_L9_W0_duration_undersize,nothing-is-impossible,22,9,0,The,duration_undersize,duration 0.037s < 0.04s,warning,False,68.843,68.88,0.037,,The impossible’s possible - oh are you gay? Psych!,whisper_plus_vocal_onset,verse_-_rapped,unknown_undersize,manual_review
nothing-is-impossible_L14_W5_duration_undersize,nothing-is-impossible,22,14,5,let,duration_undersize,duration 0.040s < 0.04s,warning,False,84.203,84.243,0.04,,"As the prodigal child, I let my intellect carry me high",whisper_plus_vocal_onset,verse_2_-_rapped,unknown_undersize,manual_review
nothing-is-impossible_L24_W1_duration_undersize,nothing-is-impossible,22,24,1,is,duration_undersize,duration 0.016s < 0.04s,warning,False,120.144,120.16,0.016,,Nothing is impossible,interpolated,hook,interpolated_undersize,re_estimate
