queue_rank,song_id,canonical_artist,canonical_title,first_release_year,dad_favorite_source_count,dad_source_count,appears_on_dad_favorite_source,popularity_score,popularity_status,recognition_status
68,S038ceb10ae,Icehouse,Cross the Border,,1,1,1,,not_enriched,unreviewed
69,S03bbeb4d4b,Lynyrd Skynyrd,Whiskey Rock-a-Roller,,1,1,1,,not_enriched,unreviewed
70,S03f0515bad,Peter Gabriel,That Voice Again,,1,1,1,,not_enriched,unreviewed
71,S040c18bfe9,Gordon Lightfoot,Sundown,,1,1,1,,not_enriched,unreviewed
72,S0445fa5df7,Lindsey Buckingham,All My Sorrows,,1,1,1,,not_enriched,unreviewed
73,S04c4e9435c,The Cars,It's Not the Night,,1,1,1,,not_enriched,unreviewed
74,S04c76a6f9a,Lindsey Buckingham,Say We'll Meet Again,,1,1,1,,not_enriched,unreviewed
75,S052f097f72,Lindsey Buckingham,Turn It On,,1,1,1,,not_enriched,unreviewed
76,S06c3850cb6,Enigma,The Eyes of Truth,,1,1,1,,not_enriched,unreviewed
77,S07003d63ec,Huey Lewis & the News,Stuck With You,,1,1,1,,not_enriched,unreviewed
78,S072a0949e9,The Beatles,I’m Looking Through You,,1,1,1,,not_enriched,unreviewed
79,S072fab7a4e,Garth Brooks,What She's Doing Now,,1,1,1,,not_enriched,unreviewed
80,S07853131fe,The 5th Dimension,Save the Country,,1,1,1,,not_enriched,unreviewed
81,S0794684892,The Association,Cherish,,1,1,1,,not_enriched,unreviewed
82,S07fdf17a19,Fleetwood Mac,Caroline,,1,1,1,,not_enriched,unreviewed
83,S083c77d3bb,Led Zeppelin,Living Loving Maid (She’s Just a Woman),,1,1,1,,not_enriched,unreviewed
84,S0887f13757,The Beatles,With a Little Help From My Friends,,1,1,1,,not_enriched,unreviewed
85,S08de99b87e,Carole King,(You Make Me Feel Like) A Natural Woman,,1,1,1,,not_enriched,unreviewed
86,S090a3475de,Carole King,It's Too Late,,1,1,1,,not_enriched,unreviewed
87,S0925b40687,Ace,Know How It Feels,,1,1,1,,not_enriched,unreviewed
88,S0953ee3d40,Huey Lewis & the News,Workin’ for a Livin’,,1,1,1,,not_enriched,unreviewed
89,S09bb4d31b0,The Doobie Brothers,Eyes of Silver,,1,1,1,,not_enriched,unreviewed
90,S09e9d7ec44,Led Zeppelin,The Song Remains the Same,,1,1,1,,not_enriched,unreviewed
91,S0a5696e500,Alice in Chains,Rotten Apple,,1,1,1,,not_enriched,unreviewed
