queue_rank,song_id,canonical_artist,canonical_title,first_release_year,dad_favorite_source_count,dad_source_count,appears_on_dad_favorite_source,popularity_score,popularity_status,recognition_status
289,S39bf89195e,Carole King,Will You Love Me Tomorrow,,1,1,1,,not_enriched,unreviewed
290,S39cc080651,Lindsey Buckingham,Don't Look Down,,1,1,1,,not_enriched,unreviewed
291,S3a24fc12d9,New Moon Jelly Roll Freedom Rockers,Can’t Stand To See You Go,,1,1,1,,not_enriched,unreviewed
292,S3a2ca28cc7,Led Zeppelin,The Battle of Evermore,,1,1,1,,not_enriched,unreviewed
293,S3a3c6a6297,The Doors,Love Her Madly,,1,1,1,,not_enriched,unreviewed
294,S3ab1e1a72a,Creedence Clearwater Revival,Hey Tonight,,1,1,1,,not_enriched,unreviewed
295,S3ac8b99c31,Billy Joel,Movin’ Out (Anthony’s Song),,1,1,1,,not_enriched,unreviewed
296,S3b472d5685,Lynyrd Skynyrd,Gimme Back My Bullets,,1,1,1,,not_enriched,unreviewed
297,S3ba6449318,Bob Dylan,Positively 4th Street,,1,1,1,,not_enriched,unreviewed
298,S3c077d3a5f,Peter Frampton,Show Me the Way,,1,1,1,,not_enriched,unreviewed
299,S3c68807f3a,The Babys,Midnight Rendezvous,,1,1,1,,not_enriched,unreviewed
300,S3d2cb77d76,The Cars,All Mixed Up,,1,1,1,,not_enriched,unreviewed
301,S3e3b9d948f,Enigma,Silent Warrior,,1,1,1,,not_enriched,unreviewed
302,S3e7af3b0c5,Carole King,I Feel the Earth Move,,1,1,1,,not_enriched,unreviewed
303,S3ebe238eb5,Kansas,Questions of My Childhood,,1,1,1,,not_enriched,unreviewed
304,S3eceae78ae,Eric Clapton,Lonely Stranger,,1,1,1,,not_enriched,unreviewed
305,S3f41bdc001,Led Zeppelin,Friends,,1,1,1,,not_enriched,unreviewed
306,S3f4ea33440,Carole King,Way Over Yonder,,1,1,1,,not_enriched,unreviewed
307,S3f64c4de73,Roger Hodgson,Hooked on a Problem,,1,1,1,,not_enriched,unreviewed
308,S3fa75876c8,Fleetwood Mac,Warm Ways,,1,1,1,,not_enriched,unreviewed
309,S40191517ec,Paul McCartney,Valentine Day,,1,1,1,,not_enriched,unreviewed
310,S40504dd027,Ace,Sniffin’ About,,1,1,1,,not_enriched,unreviewed
311,S4115736796,Sheryl Crow,Crash and Burn / Subway Ride,,1,1,1,,not_enriched,unreviewed
312,S41796bfb02,Billy Idol,Rebel Yell,,1,1,1,,not_enriched,unreviewed
313,S41e3fa5786,Journey,Winds of March,,1,1,1,,not_enriched,unreviewed
314,S42ab41c7f8,Dire Straits,Wild West End,,1,1,1,,not_enriched,unreviewed
315,S43a9ae8749,The Mamas & the Papas,Dedicated to the One I Love,,1,1,1,,not_enriched,unreviewed
316,S43b00c9daf,Lynyrd Skynyrd,You Got That Right,,1,1,1,,not_enriched,unreviewed
317,S43b19b9a12,The Babys,Turn and Walk Away,,1,1,1,,not_enriched,unreviewed
318,S443622ecfe,The Beatles,All You Need Is Love,,1,1,1,,not_enriched,unreviewed
319,S44b9e81878,Loggins & Messina,Your Mama Don't Dance,,1,1,1,,not_enriched,unreviewed
320,S4549c1836a,Neil Diamond,Golden Slumbers / Carry That Weight / The End,,1,1,1,,not_enriched,unreviewed
321,S45eb8d56cb,The Animals,It’s My Life,,1,1,1,,not_enriched,unreviewed
322,S45fb7c90aa,Chicago,Make Me Smile,,1,1,1,,not_enriched,unreviewed
323,S4643293b28,"Crosby, Stills, Nash & Young",Déjà vu,,1,1,1,,not_enriched,unreviewed
324,S465956447d,Kenny Loggins,This Is It,,1,1,1,,not_enriched,unreviewed
325,S4683118fc6,The Beatles,A Day in the Life,,1,1,1,,not_enriched,unreviewed
326,S468529799d,Neil Diamond,America,,1,1,1,,not_enriched,unreviewed
327,S4691e4a5aa,The Animals,Bury My Body,,1,1,1,,not_enriched,unreviewed
328,S469beb9aef,The Association,Windy,,1,1,1,,not_enriched,unreviewed
329,S46cebf24f8,Gordon Lightfoot,For Lovin' Me/Did She Mention My Name,,1,1,1,,not_enriched,unreviewed
330,S46ff125718,The Association,No Fair at All,,1,1,1,,not_enriched,unreviewed
331,S47c426dd62,Jimi Hendrix,Bold as Love,,1,1,1,,not_enriched,unreviewed
332,S47ee8fc6fe,Huey Lewis and the News,The Heart of Rock & Roll,,1,1,1,,not_enriched,unreviewed
333,S480931eebd,The 5th Dimension,Stoned Soul Picnic,,1,1,1,,not_enriched,unreviewed
334,S485e6150a5,The Association,Requiem for the Masses,,1,1,1,,not_enriched,unreviewed
335,S4861b98d7e,The J. Geils Band,Love‐Itis,,1,1,1,,not_enriched,unreviewed
336,S48812ac552,Dire Straits,In the Gallery,,1,1,1,,not_enriched,unreviewed
337,S48904bf0f4,Eric Clapton,Tears in Heaven,,1,1,1,,not_enriched,unreviewed
338,S4901e2b29e,Heart,Mistral Wind,,1,1,1,,not_enriched,unreviewed
339,S49877c685d,The Beatles,Tomorrow Never Knows,,1,1,1,,not_enriched,unreviewed
340,S49aee777f0,Fleetwood Mac,Don’t Stop,,1,1,1,,not_enriched,unreviewed
341,S49f6631a5a,The Beatles,I Me Mine,,1,1,1,,not_enriched,unreviewed
342,S4a22b9d954,Heart,Barracuda,,1,1,1,,not_enriched,unreviewed
343,S4a3409ec12,Eagles,Earlybird,,1,1,1,,not_enriched,unreviewed
344,S4a5bf3b35b,Kenny Loggins,Heart to Heart,,1,1,1,,not_enriched,unreviewed
345,S4a68e7fa4e,Bread,Down on My Knees,,1,1,1,,not_enriched,unreviewed
346,S4a86b55ee2,Bob Dylan,The Times They Are A-Changin',,1,1,1,,not_enriched,unreviewed
347,S4aa49481a0,Foreigner,Cold as Ice,,1,1,1,,not_enriched,unreviewed
348,S4ab1622bef,Peter Gabriel,Don’t Give Up,,1,1,1,,not_enriched,unreviewed
349,S4abda174e0,The Beatles,Oh! Yeah...Alright...,,1,1,1,,not_enriched,unreviewed
350,S4af05707ba,Kenny Loggins,For the First Time,,1,1,1,,not_enriched,unreviewed
351,S4b07cbdef6,Huey Lewis & the News,When the Time Has Come,,1,1,1,,not_enriched,unreviewed
352,S4b1f07ff6f,Bread,It Don’t Matter to Me,,1,1,1,,not_enriched,unreviewed
353,S4bb3f7323f,Icehouse,Love in Motion,,1,1,1,,not_enriched,unreviewed
354,S4bc0504889,The Beatles,The Word,,1,1,1,,not_enriched,unreviewed
355,S4bc2b67d15,Billy Joel,Everybody Has a Dream,,1,1,1,,not_enriched,unreviewed
356,S4bc7d26b01,New Moon Jelly Roll Freedom Rockers,Greens and Hams,,1,1,1,,not_enriched,unreviewed
357,S4bf7a8eb7e,The Doors,The WASP (Texas Radio and the Big Beat),,1,1,1,,not_enriched,unreviewed
358,S4c3a6e80b4,Sheryl Crow,Leaving Las Vegas,,1,1,1,,not_enriched,unreviewed
359,S4c40485bca,Lynyrd Skynyrd,That Smell,,1,1,1,,not_enriched,unreviewed
360,S4c6eee8016,Eric Clapton,Have You Ever Loved a Woman,,1,1,1,,not_enriched,unreviewed
361,S4cae01304e,Jimi Hendrix,Izabella,,1,1,1,,not_enriched,unreviewed
362,S4d109bf3b0,Fleetwood Mac,Mystified,,1,1,1,,not_enriched,unreviewed
363,S4d289500de,The Beatles,Penny Lane,,1,1,1,,not_enriched,unreviewed
364,S4d386dc293,Led Zeppelin,Your Time Is Gonna Come,,1,1,1,,not_enriched,unreviewed
365,S4da16cdd4a,Peter Frampton,"Baby, I Love Your Way",,1,1,1,,not_enriched,unreviewed
366,S4da85880f7,Kansas,Hold On,,1,1,1,,not_enriched,unreviewed
367,S4dc5ae51ab,New Moon Jelly Roll Freedom Rockers,Searchlight,,1,1,1,,not_enriched,unreviewed
368,S4dcc664fb1,Paul McCartney,Teddy Boy,,1,1,1,,not_enriched,unreviewed
369,S4e89f46ab8,Jimi Hendrix,Dolly Dagger,,1,1,1,,not_enriched,unreviewed
370,S4ee514c108,The Beatles,Eight Days a Week,,1,1,1,,not_enriched,unreviewed
371,S4f44c1938f,Heart,All I Wanna Do Is Make Love to You,,1,1,1,,not_enriched,unreviewed
372,S4fc8ba5fdf,Lynyrd Skynyrd,Comin’ Home,,1,1,1,,not_enriched,unreviewed
373,S500aecd34c,Peter Gabriel,Mercy Street,,1,1,1,,not_enriched,unreviewed
374,S501e1766dc,Paul McCartney & Wings,No Words,,1,1,1,,not_enriched,unreviewed
375,S505565d325,Led Zeppelin,The Crunge,,1,1,1,,not_enriched,unreviewed
376,S50f666fe34,"Crosby, Stills & Nash",Long Time Gone,,1,1,1,,not_enriched,unreviewed
377,S51152b5f82,The Doors,Riders on the Storm,,1,1,1,,not_enriched,unreviewed
378,S512c1a9b5c,Jimi Hendrix,If Six Was Nine,,1,1,1,,not_enriched,unreviewed
379,S51654d2e23,Neil Diamond,"Cherry, Cherry",,1,1,1,,not_enriched,unreviewed
380,S51b18b96e0,Sheryl Crow,What I Can Do for You,,1,1,1,,not_enriched,unreviewed
381,S52a6aeeb64,Led Zeppelin,Stairway to Heaven,,1,1,1,,not_enriched,unreviewed
382,S53562d28f2,Heart,How Deep It Goes,,1,1,1,,not_enriched,unreviewed
383,S5360f57614,Huey Lewis & the News,’Til the Day After,,1,1,1,,not_enriched,unreviewed
384,S536d8717c2,The Association,We Love,,1,1,1,,not_enriched,unreviewed
385,S54122a749f,Led Zeppelin,I Can't Quit You Baby,,1,1,1,,not_enriched,unreviewed
386,S54461ac81d,Jimi Hendrix,House Burning Down,,1,1,1,,not_enriched,unreviewed
387,S546fe6aa63,The 5th Dimension,Never My Love,,1,1,1,,not_enriched,unreviewed
388,S54817b9229,Paul McCartney,We All Stand Together,,1,1,1,,not_enriched,unreviewed
389,S54f55e60f5,Led Zeppelin,The Lemon Song,,1,1,1,,not_enriched,unreviewed
390,S55bafec012,The Hollies,"Stop, Stop, Stop",,1,1,1,,not_enriched,unreviewed
391,S565adfceaa,Paul McCartney,You Gave Me The Answer,,1,1,1,,not_enriched,unreviewed
392,S566e8aaf0d,Dire Straits,Setting Me Up,,1,1,1,,not_enriched,unreviewed
393,S570ed67beb,The Animals,Bring It On Home to Me,,1,1,1,,not_enriched,unreviewed
394,S573c3a22f2,Led Zeppelin,Dazed and Confused,,1,1,1,,not_enriched,unreviewed
395,S5771dac9fd,Electric Light Orchestra,Telephone Line,,1,1,1,,not_enriched,unreviewed
396,S57b7546dde,Billy Idol,Eyes Without a Face,,1,1,1,,not_enriched,unreviewed
397,S57f7b06474,The Doors,L.A. Woman,,1,1,1,,not_enriched,unreviewed
398,S5848a15ad7,Kenny Loggins,Playing With the Boys,,1,1,1,,not_enriched,unreviewed
399,S58abe3fc41,The Cars,My Best Friend's Girl,,1,1,1,,not_enriched,unreviewed
400,S593c77c285,The Doobie Brothers,Pursuit on 53rd St.,,1,1,1,,not_enriched,unreviewed
401,S59440e04cf,Grand Funk Railroad,Bad Time,,1,1,1,,not_enriched,unreviewed
402,S5944a9dff4,Eric Clapton,Alberta,,1,1,1,,not_enriched,unreviewed
403,S59909dc6f3,Fleetwood Mac,Family Man,,1,1,1,,not_enriched,unreviewed
404,S5999e1e4bc,The Steve Miller Band,Wish Upon a Star,,1,1,1,,not_enriched,unreviewed
405,S59a2a14944,Kenny Loggins,Your Mama Don't Dance,,1,1,1,,not_enriched,unreviewed
406,S59adad6563,The Beatles,Twist And Shout,,1,1,1,,not_enriched,unreviewed
407,S59dd1eae1a,The Doors,Break On Through,,1,1,1,,not_enriched,unreviewed
408,S59f26534f4,The J. Geils Band,Monkey Island,,1,1,1,,not_enriched,unreviewed
409,S5a30ab21b7,The Hollies,On a Carousel,,1,1,1,,not_enriched,unreviewed
410,S5a4465f267,The Beatles,One After 909,,1,1,1,,not_enriched,unreviewed
411,S5a57c5dad2,Heart,(Love Me Like Music) I’ll Be Your Song,,1,1,1,,not_enriched,unreviewed
412,S5a8f79a240,Peter Frampton,Do You Feel Like We Do,,1,1,1,,not_enriched,unreviewed
413,S5ab2151cd7,Tom Kimmel,5 to 1,,1,1,1,,not_enriched,unreviewed
414,S5b2fe2c871,Tracy Chapman,Subcity,,1,1,1,,not_enriched,unreviewed
415,S5b8792b934,Bread,Make It With You,,1,1,1,,not_enriched,unreviewed
416,S5bea1e5e49,Steve Miller Band,Space Intro,,1,1,1,,not_enriched,unreviewed
417,S5c02deb752,Journey,Wheel in the Sky,,1,1,1,,not_enriched,unreviewed
418,S5c07829f4a,Paul McCartney & Wings,Nineteen‐Hundred and Eighty‐Five,,1,1,1,,not_enriched,unreviewed
419,S5c431559ce,The Byrds,I’ll Feel a Whole Lot Better,,1,1,1,,not_enriched,unreviewed
420,S5cc72d3d99,The Cars,Hello Again,,1,1,1,,not_enriched,unreviewed
421,S5cea5ff80c,Chicago,Just You ’n’ Me,,1,1,1,,not_enriched,unreviewed
422,S5d0303b3b5,Eagles,Wasted Time,,1,1,1,,not_enriched,unreviewed
423,S5d28b05c72,Led Zeppelin,Babe I'm Gonna Leave You,,1,1,1,,not_enriched,unreviewed
424,S5d29efd289,Billy Joel,Keeping the Faith,,1,1,1,,not_enriched,unreviewed
425,S5d3cc1ebd6,Electric Light Orchestra,Sweet Talkin’ Woman,,1,1,1,,not_enriched,unreviewed
426,S5d4ccb1ee0,The Beatles,Mean Mr. Mustard,,1,1,1,,not_enriched,unreviewed
427,S5d529cbfef,The Beatles,The Fool on the Hill,,1,1,1,,not_enriched,unreviewed
428,S5d536942dc,The Beatles,Across The Universe,,1,1,1,,not_enriched,unreviewed
429,S5d828d5c9f,Billy Joel,Get It Right the First Time,,1,1,1,,not_enriched,unreviewed
430,S5d8691f81f,The Hollies,Long Cool Woman in a Black Dress,,1,1,1,,not_enriched,unreviewed
431,S5eee1e8eea,Garth Brooks,That Summer,,1,1,1,,not_enriched,unreviewed
432,S5f32b755e1,Creedence Clearwater Revival,Have You Ever Seen the Rain?,,1,1,1,,not_enriched,unreviewed
433,S5f35146465,The Beatles,Octopus’s Garden,,1,1,1,,not_enriched,unreviewed
434,S5f4e5741a2,Eagles,Most of Us Are Sad,,1,1,1,,not_enriched,unreviewed
435,S5fabeb4dfc,Billy Idol,Catch My Fall,,1,1,1,,not_enriched,unreviewed
436,S5fccfafc98,Gordon Lightfoot,I'm Not Sayin' / Ribbon of Darkness,,1,1,1,,not_enriched,unreviewed
437,S602f5a841c,Sheryl Crow,Members Only,,1,1,1,,not_enriched,unreviewed
438,S6055ca9683,Neil Diamond,Sweet Caroline,,1,1,1,,not_enriched,unreviewed
439,S60a8f2f599,The Cars,Drive,,1,1,1,,not_enriched,unreviewed
440,S618ad609dd,Bon Jovi,Wild in the Streets,,1,1,1,,not_enriched,unreviewed
441,S61f173e305,Kenny Loggins,I'm Free,,1,1,1,,not_enriched,unreviewed
442,S622316b77f,The Doobie Brothers,What a Fool Believes,,1,1,1,,not_enriched,unreviewed
443,S6294e46f8f,Lindsey Buckingham,Surrender the Rain,,1,1,1,,not_enriched,unreviewed
444,S6298e3627e,The Steve Miller Band,The Stake,,1,1,1,,not_enriched,unreviewed
445,S629dc1f52e,The Doobie Brothers,Down in the Track,,1,1,1,,not_enriched,unreviewed
446,S6325a1f320,Gordon Lightfoot,Softly,,1,1,1,,not_enriched,unreviewed
447,S63a5ebcdfc,The Beatles,Another Girl,,1,1,1,,not_enriched,unreviewed
448,S63b5bbe102,"Crosby, Stills, Nash & Young",Woodstock,,1,1,1,,not_enriched,unreviewed
449,S63ba4b1798,Lynyrd Skynyrd,Down South Jukin’,,1,1,1,,not_enriched,unreviewed
450,S649a5e7bac,The Beatles,Oh! Darling,,1,1,1,,not_enriched,unreviewed
451,S64b3ea45b3,Gary Lewis & the Playboys,Greatest Hits Medley,,1,1,1,,not_enriched,unreviewed
452,S64c6671cd7,The Animals,Story of Bo Diddley,,1,1,1,,not_enriched,unreviewed
453,S64ee604a0b,Steve Miller Band,"Dance, Dance, Dance",,1,1,1,,not_enriched,unreviewed
454,S6500b60429,Jimi Hendrix,Castles Made of Sand,,1,1,1,,not_enriched,unreviewed
455,S653d0d134d,Grand Funk Railroad,Shinin’ On,,1,1,1,,not_enriched,unreviewed
456,S655d90a12d,Alice Cooper,Desperado,,1,1,1,,not_enriched,unreviewed
457,S6568720e7b,Creedence Clearwater Revival,Fortunate Son,,1,1,1,,not_enriched,unreviewed
458,S65759ab60c,Paul McCartney,Venus And Mars,,1,1,1,,not_enriched,unreviewed
459,S65f42ea366,Peter Frampton,Penny for Your Thoughts,,1,1,1,,not_enriched,unreviewed
460,S663b0a4c10,Sheryl Crow,Sweet Child o’ Mine,,1,1,1,,not_enriched,unreviewed
461,S66d52a3028,Billy Joel,An Innocent Man,,1,1,1,,not_enriched,unreviewed
462,S675e3cc60b,Loggins & Messina,Vahevala,,1,1,1,,not_enriched,unreviewed
463,S67733892ca,Billy Joel,Vienna,,1,1,1,,not_enriched,unreviewed
464,S6798d74f23,Led Zeppelin,Good Times Bad Times,,1,1,1,,not_enriched,unreviewed
465,S680c4d6395,Icehouse,No Promises,,1,1,1,,not_enriched,unreviewed
466,S68269ae086,Heart,White Lightning & Wine,,1,1,1,,not_enriched,unreviewed
467,S6953cc9032,Bad Company,Nuthin' on the TV,,1,1,1,,not_enriched,unreviewed
468,S697614ad5c,Dire Straits,Water of Love,,1,1,1,,not_enriched,unreviewed
469,S697a3d2889,The Association,Enter the Young,,1,1,1,,not_enriched,unreviewed
470,S69ed3a4fa3,Dire Straits,Lions,,1,1,1,,not_enriched,unreviewed
471,S6ab01dbee1,Eagles,Train Leaves Here This Morning,,1,1,1,,not_enriched,unreviewed
472,S6b275cc6d7,The Beatles,Run for Your Life,,1,1,1,,not_enriched,unreviewed
473,S6b2b6185ac,The Beatles,Dig It,,1,1,1,,not_enriched,unreviewed
474,S6b3219cb4c,Creedence Clearwater Revival,Travelin’ Band,,1,1,1,,not_enriched,unreviewed
475,S6b862a9464,Paul McCartney,Oo You,,1,1,1,,not_enriched,unreviewed
476,S6bab98031e,The Beatles,We Can Work It Out,,1,1,1,,not_enriched,unreviewed
477,S6bd8f185af,Fleetwood Mac,Sugar Daddy,,1,1,1,,not_enriched,unreviewed
478,S6c0ed94c01,The Byrds,Mr. Spaceman,,1,1,1,,not_enriched,unreviewed
479,S6c22cae9ac,The Beatles,Please Please Me,,1,1,1,,not_enriched,unreviewed
480,S6c28570f86,Greg Kihn Band,Can't Stop Hurtin' Myself,,1,1,1,,not_enriched,unreviewed
481,S6c35f5ef5e,Paul McCartney,Call Me Back Again,,1,1,1,,not_enriched,unreviewed
482,S6c490e3b72,Eagles,Chug All Night,,1,1,1,,not_enriched,unreviewed
483,S6cc322badf,The Hollies,Casualty,,1,1,1,,not_enriched,unreviewed
484,S6d142d1b72,Fleetwood Mac,Say You Love Me,,1,1,1,,not_enriched,unreviewed
485,S6d46b24d76,Bread,Truckin’,,1,1,1,,not_enriched,unreviewed
486,S6d6686224a,The Cars,Good Times Roll,,1,1,1,,not_enriched,unreviewed
487,S6d90b6bfac,The Beatles,Two Of Us,,1,1,1,,not_enriched,unreviewed
488,S6dab797392,Neil Diamond,September Morn,,1,1,1,,not_enriched,unreviewed
489,S6de200d157,Eagles,Hotel California,,1,1,1,,not_enriched,unreviewed
490,S6df31609b5,Steve Miller Band,Sweet Maree,,1,1,1,,not_enriched,unreviewed
491,S6e2f37e30e,Foreigner,Fool for You Anyway,,1,1,1,,not_enriched,unreviewed
492,S6e4027bbd4,Enigma,I Love You… I’ll Kill You,,1,1,1,,not_enriched,unreviewed
493,S6e9069411f,The Beatles,Your Mother Should Know,,1,1,1,,not_enriched,unreviewed
494,S6e995abfd1,Chicago,Colour My World,,1,1,1,,not_enriched,unreviewed
495,S6eca9d8e6f,Huey Lewis & the News,Do You Believe in Love,,1,1,1,,not_enriched,unreviewed
496,S6ece18f88e,The Doors,"Yes, the River Knows",,1,1,1,,not_enriched,unreviewed
497,S6f32bea7ed,Heart,Sing Child,,1,1,1,,not_enriched,unreviewed
498,S6f32c44a96,The Doors,Cars Hiss by My Window,,1,1,1,,not_enriched,unreviewed
499,S6f581f08db,Sheryl Crow,Strong Enough,,1,1,1,,not_enriched,unreviewed
500,S6f77939a84,The Beatles,When I’m Sixty‐Four,,1,1,1,,not_enriched,unreviewed
501,S6fbf69c458,The Animals,Talkin’ ’bout You,,1,1,1,,not_enriched,unreviewed
502,S6fdadb192f,Michael Jackson,Say Say Say,,1,1,1,,not_enriched,unreviewed
503,S6ff0b75adc,Electric Light Orchestra,Turn to Stone,,1,1,1,,not_enriched,unreviewed
504,S6ff7265238,The Guess Who,No Sugar Tonight / New Mother Nature,,1,1,1,,not_enriched,unreviewed
505,S705f316c3f,The Animals,Don’t Let Me Be Misunderstood,,1,1,1,,not_enriched,unreviewed
506,S70d145ed93,The Beatles,Michelle,,1,1,1,,not_enriched,unreviewed
507,S710a897a12,Bob Dylan,Stuck Inside of Mobile With the Memphis Blues Again,,1,1,1,,not_enriched,unreviewed
508,S712916fdc1,Lynyrd Skynyrd,On the Hunt,,1,1,1,,not_enriched,unreviewed
509,S712bfdb3e5,Gordon Lightfoot,Minstrel of the Dawn,,1,1,1,,not_enriched,unreviewed
510,S71d718e4cf,Ace,Time Ain’t Long,,1,1,1,,not_enriched,unreviewed
511,S71e0e0ec61,Paul McCartney,Momma Miss America,,1,1,1,,not_enriched,unreviewed
512,S728fc9cfa6,The Beatles,The End,,1,1,1,,not_enriched,unreviewed
513,S729505045c,Tom Kimmel,True Love,,1,1,1,,not_enriched,unreviewed
514,S72f8c9af1e,Chicago,Wishing You Were Here,,1,1,1,,not_enriched,unreviewed
515,S73326473e4,The Mamas & the Papas,Dream a Little Dream of Me,,1,1,1,,not_enriched,unreviewed
516,S73e75a0dbf,Loggins & Messina,Thinking of You,,1,1,1,,not_enriched,unreviewed
517,S742a2e02c2,Chicago,Beginnings,,1,1,1,,not_enriched,unreviewed
518,S74301c6009,The Beatles,Revolution,,1,1,1,,not_enriched,unreviewed
519,S74d16816e3,Jimi Hendrix,Gloria,,1,1,1,,not_enriched,unreviewed
520,S74e80195b7,Led Zeppelin,Out on the Tiles,,1,1,1,,not_enriched,unreviewed
521,S75571ac8e8,The Beatles,Rain,,1,1,1,,not_enriched,unreviewed
522,S75dc7ad4b5,Led Zeppelin,Dancing Days,,1,1,1,,not_enriched,unreviewed
523,S75ec3f835f,Eagles,Wasted Time (reprise),,1,1,1,,not_enriched,unreviewed
524,S75faaa59fa,Collective Soul,Breathe,,1,1,1,,not_enriched,unreviewed
525,S762007e3ee,The Beatles,I Am the Walrus,,1,1,1,,not_enriched,unreviewed
526,S7642368f06,Carole King,Smackwater Jack,,1,1,1,,not_enriched,unreviewed
527,S76dedeb0f4,Garth Brooks,Rodeo,,1,1,1,,not_enriched,unreviewed
528,S76e3d3171a,Enigma,Out From the Deep,,1,1,1,,not_enriched,unreviewed
529,S7714053cf4,Dire Straits,Brothers in Arms,,1,1,1,,not_enriched,unreviewed
530,S77449b0b11,Bread,Everything I Own,,1,1,1,,not_enriched,unreviewed
531,S774f118bca,The Mamas & the Papas,Creeque Alley,,1,1,1,,not_enriched,unreviewed
532,S776c7fbc5d,Kenny Loggins,Vox Humana,,1,1,1,,not_enriched,unreviewed
533,S7779ac3531,Peter Gabriel,Big Time,,1,1,1,,not_enriched,unreviewed
534,S77cc6a54d6,The Hollies,King Midas in Reverse,,1,1,1,,not_enriched,unreviewed
535,S77e00658d4,The Beatles,Carry That Weight (early take),,1,1,1,,not_enriched,unreviewed
536,S77ea40a118,Chicago,25 or 6 to 4,,1,1,1,,not_enriched,unreviewed
537,S781e02942d,Eagles,Peaceful Easy Feeling,,1,1,1,,not_enriched,unreviewed
538,S78c214f84e,Bon Jovi,I’d Die for You,,1,1,1,,not_enriched,unreviewed
539,S7917a72f5f,"Crosby, Stills, Nash & Young",Helpless,,1,1,1,,not_enriched,unreviewed
540,S79521d82c4,Led Zeppelin,The Ocean,,1,1,1,,not_enriched,unreviewed
541,S7996e32d74,The Hollies,"He Ain’t Heavy, He’s My Brother",,1,1,1,,not_enriched,unreviewed
542,S7a64aed880,The Steve Miller Band,Swingtown,,1,1,1,,not_enriched,unreviewed
543,S7a83e86e19,Kenny Loggins,Welcome to the Hard Life,,1,1,1,,not_enriched,unreviewed
544,S7acafe2227,Garth Brooks,The Thunder Rolls,,1,1,1,,not_enriched,unreviewed
545,S7b1381c639,"Crosby, Stills & Nash",Pre‐Road Downs,,1,1,1,,not_enriched,unreviewed
546,S7b3702b6dc,The Beatles,I Want You,,1,1,1,,not_enriched,unreviewed
547,S7b52ebf924,Kenny Loggins,Don't Fight It,,1,1,1,,not_enriched,unreviewed
548,S7bbd51f218,Led Zeppelin,Hats Off to (Roy) Harper,,1,1,1,,not_enriched,unreviewed
549,S7c0ad3d6c6,Collective Soul,"Goodnight, Good Guy",,1,1,1,,not_enriched,unreviewed
550,S7c6357e145,Neil Diamond,Jungletime,,1,1,1,,not_enriched,unreviewed
551,S7c851a6105,The Doors,"Hello, I Love You",,1,1,1,,not_enriched,unreviewed
552,S7c95e9d3a6,Icehouse,Mr. Big,,1,1,1,,not_enriched,unreviewed
553,S7d053a793a,Jackson Browne,Daddy's Tune,,1,1,1,,not_enriched,unreviewed
554,S7d1fda83d4,The Mamas & the Papas,My Girl,,1,1,1,,not_enriched,unreviewed
555,S7d3a74776a,Kansas,Perfect Lover,,1,1,1,,not_enriched,unreviewed
556,S7d450f95d1,Bon Jovi,Social Disease,,1,1,1,,not_enriched,unreviewed
557,S7d6300b241,Eagles,Witchy Woman,,1,1,1,,not_enriched,unreviewed
558,S7d73c362a2,"Crosby, Stills, Nash & Young",Teach Your Children,,1,1,1,,not_enriched,unreviewed
559,S7d7f78f8c9,Eric Clapton,Blues Power,,1,1,1,,not_enriched,unreviewed
560,S7db40631e5,The Beatles,All My Loving,,1,1,1,,not_enriched,unreviewed
561,S7e0664e00d,The J. Geils Band,Stoop Down #39,,1,1,1,,not_enriched,unreviewed
562,S7e5f7d70f9,The Mamas & the Papas,Dancing in the Street,,1,1,1,,not_enriched,unreviewed
563,S7e8eef2651,Bon Jovi,You Give Love a Bad Name,,1,1,1,,not_enriched,unreviewed
564,S7f030db32c,The Mamas & the Papas,Look Through My Window,,1,1,1,,not_enriched,unreviewed
565,S7f1d3e6d1b,Paul McCartney,Junk,,1,1,1,,not_enriched,unreviewed
566,S7f39d5756e,The Guess Who,Undun,,1,1,1,,not_enriched,unreviewed
567,S7f55ffcf7c,Greg Kihn Band,Trouble in Paradise,,1,1,1,,not_enriched,unreviewed
568,S7fafeccd03,"Crosby, Stills & Nash",Wooden Ships,,1,1,1,,not_enriched,unreviewed
569,S803ca199d0,Wings,Silly Love Songs,,1,1,1,,not_enriched,unreviewed
570,S8052de3768,Foreigner,At War With the World,,1,1,1,,not_enriched,unreviewed
571,S8089c3088d,The Animals,We Gotta Get Out of This Place,,1,1,1,,not_enriched,unreviewed
572,S808fd6d691,Bob Dylan,Forever Young,,1,1,1,,not_enriched,unreviewed
573,S8098af4d9f,The Beatles,Maxwell’s Silver Hammer,,1,1,1,,not_enriched,unreviewed
574,S80bb5c1aaa,Steve Miller Band,Wild Mountain Honey,,1,1,1,,not_enriched,unreviewed
575,S811adad412,Fleetwood Mac,Welcome to the Room… Sara,,1,1,1,,not_enriched,unreviewed
576,S815490a287,The Beatles,Dizzy Miss Lizzy,,1,1,1,,not_enriched,unreviewed
577,S8159607982,The Beatles,I Feel Fine,,1,1,1,,not_enriched,unreviewed
578,S81806cd869,The Doobie Brothers,Tell Me What You Want (And I'll Give You What You Need),,1,1,1,,not_enriched,unreviewed
579,S81d0d6b71a,Journey,Somethin’ to Hide,,1,1,1,,not_enriched,unreviewed
